Time [s],Value,Parity Error,Framing Error
3.639690708333333,0xFF,,
3.643888583333333,0xFF,,
3.648086541666667,0xFF,,
3.652284458333333,0xFF,,
3.656482416666667,0xFF,,
3.660680375000000,0xFF,,
3.662911958333333,0xFF,,
3.664878250000000,0x00,,Error
7.646961166666666,0x00,,Error
7.832030666666666,0xFF,,
8.169384916666667,0x00,,Error
9.349860500000000,0x00,,Error
9.357400916666666,0xF0,,
9.359931250000001,0xF0,,
9.361600541666666,0x70,,Error
9.365801125000001,0x70,,Error
9.367913500000000,0x70,,Error
9.370000958333334,0x70,,Error
9.371696333333333,0x00,,Error
9.373783375000000,0x00,,
9.375479458333333,0x00,,Error
9.427001916666667,0x00,,Error
9.434542000000000,0xF0,,
9.437907208333334,0x70,,Error
9.439601958333334,0x00,,
9.441689541666667,0xF0,,
9.442941666666666,0xF0,,
9.444637583333334,0x00,,
9.446306874999999,0x00,,Error
9.448837458333333,0x00,,
9.450089208333333,0x00,,
9.451341416666667,0xF0,,
9.452620041666666,0x00,,Error
9.570261916666666,0x00,,Error
9.577801541666666,0xF0,,
9.581166333333334,0x70,,Error
9.582860999999999,0x00,,
9.584948416666666,0xF0,,
9.586200416666667,0xF0,,
9.587896166666667,0x00,,
9.589565625000001,0x00,,Error
9.592096250000001,0x00,,
9.593347874999999,0x00,,
9.594600083333333,0xF0,,
9.595878666666666,0x00,,Error
11.686448499999999,0x00,,Error
11.808117916666667,0x00,,Error
11.815505291666666,0x00,,Error
11.839858541666667,0x00,,Error
11.859795208333333,0x00,,Error
11.869685833333333,0x00,,Error
11.879513749999999,0x00,,Error
11.908497541666666,0x00,,Error
11.919452583333333,0x00,,Error
11.928310583333333,0x00,,Error
11.938326750000000,0x00,,Error
11.939328458333334,0x00,,Error
11.940330083333333,0x00,,Error
11.959204208333333,0x00,,Error
11.960205666666667,0x00,,Error
11.969095625000000,0x00,,Error
11.979080750000000,0x00,,Error
11.980082124999999,0x00,,Error
11.989660958333333,0x00,,Error
12.020774083333333,0x00,,Error
12.027409416666666,0x00,,Error
12.028411125000000,0x00,,Error
12.029412750000001,0x00,,Error
12.049539250000000,0x00,,Error
12.057082791666666,0x00,,Error
12.069727875000000,0x00,,Error
12.078022041666667,0x00,,Error
12.079086041666667,0x00,,Error
12.089227541666666,0x00,,Error
12.099024416666667,0x00,,Error
12.101403124999999,0x00,,Error
12.109041666666666,0x00,,Error
12.118211666666667,0x00,,Error
12.135586625000000,0x00,,Error
12.137903416666667,0x00,,Error
12.138905208333334,0x00,,Error
12.168207375000000,0x00,,Error
12.170774916666666,0x00,,Error
12.179041000000000,0x00,,Error
12.188275500000000,0x00,,Error
12.189277416666666,0x00,,Error
12.198137624999999,0x00,,Error
12.200767416666666,0x00,,Error
12.218329833333334,0x00,,Error
12.228286208333333,0x00,,Error
12.237457500000000,0x00,,Error
12.238459250000000,0x00,,Error
12.250511041666666,0x00,,Error
12.268385083333333,0x00,,Error
12.269386875000000,0x00,,Error
12.279435500000000,0x00,,Error
12.297746125000000,0x00,,Error
12.299937208333333,0x00,,Error
12.309108166666666,0x00,,Error
12.310109416666666,0x00,,Error
12.327293500000000,0x00,,Error
12.329297000000000,0x00,,Error
12.331300250000000,0x00,,Error
12.339657375000000,0x00,,Error
12.356716250000000,0x00,,Error
12.357717916666667,0x00,,Error
12.359471166666667,0x00,,Error
12.369394541666667,0x00,,Error
12.370458833333334,0x00,,Error
12.381194958333333,0x00,,Error
12.397878250000000,0x00,,Error
12.398880041666667,0x00,,Error
12.409178583333333,0x00,,Error
12.410179916666667,0x00,,Error
12.437475708333332,0x00,,Error
12.439792250000000,0x00,,Error
12.448149583333333,0x00,,Error
12.449526916666667,0x00,,Error
12.457383833333333,0x00,,Error
12.459763125000000,0x00,,Error
12.461015291666667,0x00,,Error
12.468373333333334,0x00,,Error
12.480113625000000,0x00,,Error
12.489694625000000,0x00,,Error
12.506909291666666,0x00,,Error
12.519085250000000,0x00,,Error
12.528319083333333,0x00,,Error
12.529633625000001,0x00,,Error
12.538554541666667,0x00,,Error
12.539618416666666,0x00,,Error
12.549791333333333,0x00,,Error
12.550792958333334,0x00,,Error
12.559588958333334,0x00,,Error
12.570011958333334,0x00,,Error
12.571013499999999,0x00,,Error
12.595553541666666,0x00,,Error
12.606852708333333,0x00,,Error
12.617526375000001,0x00,,Error
12.618841000000000,0x00,,Error
12.627949208333334,0x00,,Error
12.628951083333334,0x00,,Error
12.638435666666666,0x00,,Error
12.639624875000001,0x00,,Error
12.649170958333332,0x00,,Error
12.650360250000000,0x00,,Error
12.659406333333333,0x00,,Error
12.660595624999999,0x00,,Error
12.670580916666667,0x00,,Error
12.679376708333333,0x00,,Error
12.680440791666667,0x00,,Error
12.690299500000000,0x00,,Error
12.691551583333334,0x00,,Error
12.701473125000000,0x00,,Error
12.718593250000000,0x00,,Error
12.728014125000000,0x00,,Error
12.729829375000000,0x00,,Error
12.738562083333333,0x00,,Error
12.739563708333334,0x00,,Error
12.740565291666666,0x00,,Error
12.750800500000000,0x00,,Error
12.756184375000000,0x00,,Error
12.757374291666666,0x00,,Error
12.758376208333333,0x00,,Error
12.769239208333333,0x00,,Error
12.778286749999999,0x00,,Error
12.780665916666667,0x00,,Error
12.798165375000000,0x00,,Error
12.800043708333334,0x00,,Error
12.807399083333333,0x00,,Error
12.808400750000001,0x00,,Error
12.809402416666666,0x00,,Error
12.811155125000001,0x00,,Error
12.812531999999999,0x00,,Error
12.819857208333334,0x00,,Error
12.827961791666667,0x00,,Error
12.829902375000000,0x00,,Error
12.839385208333333,0x00,,Error
12.840386708333334,0x00,,Error
12.859446750000000,0x00,,Error
12.868555041666667,0x00,,Error
12.869619250000000,0x00,,Error
12.870746041666667,0x00,,Error
12.889745541666667,0x00,,Error
12.890747166666667,0x00,,Error
12.899103916666666,0x00,,Error
12.900105249999999,0x00,,Error
12.908368458333333,0x00,,Error
12.918790916666667,0x00,,Error
12.919792666666666,0x00,,Error
12.921608333333333,0x00,,Error
12.938103041666666,0x00,,Error
12.940669583333333,0x00,,Error
12.949529041666667,0x00,,Error
12.959109000000000,0x00,,Error
12.968031291666666,0x00,,Error
12.976734374999999,0x00,,Error
12.977736458333334,0x00,,Error
12.988474833333333,0x00,,Error
12.989476375000001,0x00,,Error
12.990541041666667,0x00,,Error
12.991542791666667,0x00,,Error
12.999432333333333,0x00,,Error
13.009669499999999,0x00,,Error
13.015304458333333,0x00,,Error
13.018811124999999,0x00,,Error
13.019812999999999,0x00,,Error
13.029299416666667,0x00,,Error
13.030301041666666,0x00,,Error
13.038065583333333,0x00,,Error
13.057317916666667,0x00,,Error
13.060573249999999,0x00,,Error
13.061574875000000,0x00,,Error
13.077257083333333,0x00,,Error
13.089527416666666,0x00,,Error
13.107211666666666,0x00,,Error
13.108213291666667,0x00,,Error
13.109277499999999,0x00,,Error
13.119200125000001,0x00,,Error
13.121703875000000,0x00,,Error
13.128277166666667,0x00,,Error
13.147652875000000,0x00,,Error
13.150908749999999,0x00,,Error
13.152035500000000,0x00,,Error
13.157232333333333,0x00,,Error
13.169035416666667,0x00,,Error
13.170225041666667,0x00,,Error
13.178050916666667,0x00,,Error
13.197052083333332,0x00,,Error
13.198054166666667,0x00,,Error
13.199055916666667,0x00,,Error
13.200057666666666,0x00,,Error
13.201121875000000,0x00,,Error
13.207193791666667,0x00,,Error
13.208195291666666,0x00,,Error
13.211888750000000,0x00,,Error
13.238653166666667,0x00,,Error
13.239780166666666,0x00,,Error
13.248859041666666,0x00,,Error
13.257467083333333,0x00,,Error
13.259094583333333,0x00,,Error
13.260158833333334,0x00,,Error
13.271051625000000,0x00,,Error
13.298688625000000,0x00,,Error
13.300253291666667,0x00,,Error
13.307890416666666,0x00,,Error
13.308954625000000,0x00,,Error
13.309956208333332,0x00,,Error
13.317092499999999,0x00,,Error
13.318094041666667,0x00,,Error
13.320097875000000,0x00,,Error
13.321349750000000,0x00,,Error
13.329142666666666,0x00,,Error
13.339160500000000,0x00,,Error
13.348990541666666,0x00,,Error
13.349992374999999,0x00,,Error
48.706273250000002,0xFF,,
48.709211708333335,0xFF,,
48.714249208333335,0xFF,,
48.718447124999997,0xFF,,
48.722645041666667,0xFF,,
48.726842958333336,0xFF,,
48.727974333333336,0x00,,Error
51.991979791666665,0x00,,Error
52.162270791666664,0xFF,,
52.499616333333336,0x00,,Error
